sender,receiver,count
62,2,1
62,5,1
62,16,1
62,20,1
62,36,1
62,60,1
62,72,1
62,83,1
62,84,1
62,96,1
62,103,1
62,106,1
62,108,1
62,110,1
62,121,1
62,128,1
62,132,1
62,133,1
62,151,1
62,157,1
62,162,1
62,172,1
62,175,1
62,179,1
62,182,1
62,187,1
62,190,1
62,191,1
36,2,1
36,5,1
36,103,1
36,157,1
36,190,1
36,191,1
115,2,1
84,5,1
84,8,1
84,72,1
84,81,1
84,95,1
84,110,1
84,187,1
84,191,1
139,103,1
157,2,1
157,3,1
157,5,1
157,16,1
157,26,1
157,31,1
157,32,1
157,36,1
157,45,1
157,54,1
157,84,1
157,96,1
157,103,1
157,108,1
157,110,1
157,129,1
157,153,1
157,154,1
157,190,1
157,191,1
157,62,1
103,36,1
103,109,1
103,187,1
103,191,1
5,190,1
5,110,1
5,191,1
5,157,1
5,182,1
5,106,1
5,103,1
5,84,1
5,110,1
5,108,1
5,36,1
5,31,1
5,88,1
5,2,1
22,107,1
31,190,1
31,191,1
31,110,1
31,95,1
31,93,1
31,108,1
31,103,1
31,96,1
31,5,1
31,66,1
31,62,1
31,36,1
31,8,1
31,2,1
